file_name,emotion,sentiment
03-01-01-01-01-01-01.wav,neutral,positive
03-01-01-01-01-02-01.wav,neutral,positive
03-01-01-01-02-01-01.wav,neutral,positive
03-01-01-01-02-02-01.wav,neutral,positive
03-01-02-01-01-01-01.wav,calm,positive
03-01-02-01-01-02-01.wav,calm,positive
03-01-02-01-02-01-01.wav,calm,positive
03-01-02-01-02-02-01.wav,calm,positive
03-01-02-02-01-01-01.wav,calm,positive
03-01-02-02-01-02-01.wav,calm,positive
03-01-02-02-02-01-01.wav,calm,positive
03-01-02-02-02-02-01.wav,calm,positive
03-01-03-01-01-01-01.wav,happy,positive
03-01-03-01-01-02-01.wav,happy,positive
03-01-03-01-02-01-01.wav,happy,positive
03-01-03-01-02-02-01.wav,happy,positive
03-01-03-02-01-01-01.wav,happy,positive
03-01-03-02-01-02-01.wav,happy,positive
03-01-03-02-02-01-01.wav,happy,positive
03-01-03-02-02-02-01.wav,happy,positive
03-01-04-01-01-01-01.wav,sad,negative
03-01-04-01-01-02-01.wav,sad,negative
03-01-04-01-02-01-01.wav,sad,negative
03-01-04-01-02-02-01.wav,sad,negative
03-01-04-02-01-01-01.wav,sad,negative
03-01-04-02-01-02-01.wav,sad,negative
03-01-04-02-02-01-01.wav,sad,negative
03-01-04-02-02-02-01.wav,sad,negative
03-01-05-01-01-01-01.wav,angry,negative
03-01-05-01-01-02-01.wav,angry,negative
03-01-05-01-02-01-01.wav,angry,negative
03-01-05-01-02-02-01.wav,angry,negative
03-01-05-02-01-01-01.wav,angry,negative
03-01-05-02-01-02-01.wav,angry,negative
03-01-05-02-02-01-01.wav,angry,negative
03-01-05-02-02-02-01.wav,angry,negative
03-01-06-01-01-01-01.wav,fearful,negative
03-01-06-01-01-02-01.wav,fearful,negative
03-01-06-01-02-01-01.wav,fearful,negative
03-01-06-01-02-02-01.wav,fearful,negative
03-01-06-02-01-01-01.wav,fearful,negative
03-01-06-02-01-02-01.wav,fearful,negative
03-01-06-02-02-01-01.wav,fearful,negative
03-01-06-02-02-02-01.wav,fearful,negative
03-01-07-01-01-01-01.wav,disgust,negative
03-01-07-01-01-02-01.wav,disgust,negative
03-01-07-01-02-01-01.wav,disgust,negative
03-01-07-01-02-02-01.wav,disgust,negative
03-01-07-02-01-01-01.wav,disgust,negative
03-01-07-02-01-02-01.wav,disgust,negative
03-01-07-02-02-01-01.wav,disgust,negative
03-01-07-02-02-02-01.wav,disgust,negative
03-01-08-01-01-01-01.wav,surprised,positive
03-01-08-01-01-02-01.wav,surprised,positive
03-01-08-01-02-01-01.wav,surprised,positive
03-01-08-01-02-02-01.wav,surprised,positive
03-01-08-02-01-01-01.wav,surprised,positive
03-01-08-02-01-02-01.wav,surprised,positive
03-01-08-02-02-01-01.wav,surprised,positive
03-01-08-02-02-02-01.wav,surprised,positive
03-01-01-01-01-01-02.wav,neutral,positive
03-01-01-01-01-02-02.wav,neutral,positive
03-01-01-01-02-01-02.wav,neutral,positive
03-01-01-01-02-02-02.wav,neutral,positive
03-01-02-01-01-01-02.wav,calm,positive
03-01-02-01-01-02-02.wav,calm,positive
03-01-02-01-02-01-02.wav,calm,positive
03-01-02-01-02-02-02.wav,calm,positive
03-01-02-02-01-01-02.wav,calm,positive
03-01-02-02-01-02-02.wav,calm,positive
03-01-02-02-02-01-02.wav,calm,positive
03-01-02-02-02-02-02.wav,calm,positive
03-01-03-01-01-01-02.wav,happy,positive
03-01-03-01-01-02-02.wav,happy,positive
03-01-03-01-02-01-02.wav,happy,positive
03-01-03-01-02-02-02.wav,happy,positive
03-01-03-02-01-01-02.wav,happy,positive
03-01-03-02-01-02-02.wav,happy,positive
03-01-03-02-02-01-02.wav,happy,positive
03-01-03-02-02-02-02.wav,happy,positive
03-01-04-01-01-01-02.wav,sad,negative
03-01-04-01-01-02-02.wav,sad,negative
03-01-04-01-02-01-02.wav,sad,negative
03-01-04-01-02-02-02.wav,sad,negative
03-01-04-02-01-01-02.wav,sad,negative
03-01-04-02-01-02-02.wav,sad,negative
03-01-04-02-02-01-02.wav,sad,negative
03-01-04-02-02-02-02.wav,sad,negative
03-01-05-01-01-01-02.wav,angry,negative
03-01-05-01-01-02-02.wav,angry,negative
03-01-05-01-02-01-02.wav,angry,negative
03-01-05-01-02-02-02.wav,angry,negative
03-01-05-02-01-01-02.wav,angry,negative
03-01-05-02-01-02-02.wav,angry,negative
03-01-05-02-02-01-02.wav,angry,negative
03-01-05-02-02-02-02.wav,angry,negative
03-01-06-01-01-01-02.wav,fearful,negative
03-01-06-01-01-02-02.wav,fearful,negative
03-01-06-01-02-01-02.wav,fearful,negative
03-01-06-01-02-02-02.wav,fearful,negative
03-01-06-02-01-01-02.wav,fearful,negative
03-01-06-02-01-02-02.wav,fearful,negative
03-01-06-02-02-01-02.wav,fearful,negative
03-01-06-02-02-02-02.wav,fearful,negative
03-01-07-01-01-01-02.wav,disgust,negative
03-01-07-01-01-02-02.wav,disgust,negative
03-01-07-01-02-01-02.wav,disgust,negative
03-01-07-01-02-02-02.wav,disgust,negative
03-01-07-02-01-01-02.wav,disgust,negative
